Lecture No.,Unit No. & Name,Topics Covered,CO,Expected Knowledge Levels in Bloom's Taxonomy,Skills,Applications,PBL Activity Planned,Assessment Planned – CO Attainment
L01,Unit 1: Foundations of Backend Development,"Overview, Evolution, Roles, Characteristics",CO1,Understand,"Conceptual understanding, Analytical thinking","E-commerce, Banking, Healthcare","Social discussion on web evolution","MCQ Quiz"
L02,Unit 1: Foundations of Backend Development,"Client-Server Architecture, Types, Protocols",CO1,Understand,"Conceptual understanding, Analytical thinking, System understanding","E-commerce, Banking, Web applications","Architecture diagramming","Assignment"
L03,Unit 1: Foundations of Backend Development,"Setting Up Environment, HTTP, Express, Flask",CO1,Apply,"Programming, Environment setup, Debugging, API basics","Web development environments","Building Express and Flask servers","Hands-on implementation & Verification"
L04,Unit 1: Foundations of Backend Development,"HTTP Requests, DevTools, CURL, Postman, fetch",CO1,Analyze,"HTTP inspection, API testing, Debugging, API request building, Client-server interaction analysis","Web application debugging, API development, Integration testing","Analyzing API request/response cycles using three different tools","Coding exercise & Network analysis demonstration"
L05,Unit 1: Foundations of Backend Development,"REST principles, Resource design, FastAPI",CO1,Create,"REST API design, FastAPI development, CRUD implementation, Pydantic modeling, API documentation","Enterprise API development, Backend microservices, Web service integration","Building a complete CRUD API with FastAPI","Coding project & API documentation demonstration"
L06,Unit 1: Foundations of Backend Development,"Session, Cookie, State Management",CO1,Apply,"Backend state management, Session handling, Cookie management, Security practices (httpOnly, secure)","Authentication systems, User preference management, Shopping carts, Session tracking","Implementing user login/logout and session management in Express","Coding exercise & Security analysis demonstration"
L08,Unit 1: Foundations of Backend Development,"SSR, Templating Engines, Static files",CO2,Create,"Server-side rendering, Templating engine usage, Static file serving, Dynamic content generation, Web layout design","Content management systems, Dashboards, Blogs, E-commerce websites","Building a dynamic student dashboard with SSR and static assets","Coding project & SSR implementation demonstration"
L13,Unit 2: Database Management,"Introduction to Databases: Relational vs NoSQL Databases",CO1,Understand,"Database basics, SQL vs NoSQL comparison, Database selection, SQL CRUD operations","Enterprise applications, Data storage systems, Web backends","Setting up SQL/NoSQL databases and comparing CRUD experiences","Coding project & Comparative analysis presentation"
L14,Unit 2: Database Management,"Database Schema Design: ER Diagrams, Normalization, Relationships",CO2,Create,"ER diagramming, Database normalization, Relationship modeling, Schema design","Database architecture, Data integrity, Efficient query design","Drawing ER diagrams and normalizing real-world data","Coding project & Normalized schema demonstration"
L15,Unit 2: Database Management,"Data Modeling: Designing Models for Applications",CO2,Create,"Conceptual/Logical/Physical modeling, ORM/ODM implementation, Data validation","Application data structures, Database interaction, Schema mapping","Modeling an E-Commerce system and implementing SQLAlchemy/Mongoose models","Coding project & Data model design demonstration"
L16,Unit 2: Database Management,"CRUD Operations: Create, Read, Update, Delete in Databases",CO2,Apply,"Raw SQL operations, ORM/ODM CRUD implementation, Query filtering/sorting/pagination","Backend API development, Database management systems, Data-driven web apps","Implementing a complete CRUD API for a Course/Student management system","Coding project & CRUD implementation demonstration"
L17,Unit 2: Database Management,"Query Optimization: Indexing and Performance Tuning",CO2,Apply,"Indexing strategies, Query execution plan analysis (EXPLAIN), Query optimization, Database tuning","Database performance tuning, API latency reduction, System scalability","Optimizing database queries for a large dataset using indexing and performance tuning","Coding project & Query optimization demonstration"
L18,Unit 2: Database Management,"Designing RESTful APIs: Endpoint Planning and Resource Modeling",CO3,Create,"Resource-oriented design, Endpoint planning, REST conventions, API documentation/versioning","Backend service design, Public API development, API ecosystem management","Designing a complete RESTful API for a Library Management System","Coding project & API design demonstration"
L19,Unit 2: Database Management,"Implementing RESTful APIs: Building API Endpoints",CO3,Apply,"API development, Request validation, FastAPI/Pydantic implementation, Error handling","Backend service deployment, API endpoints, Web application integration","Implementing a complete CRUD API for a Student/Course system in FastAPI","Coding project & API implementation demonstration"
L20,Unit 2: Database Management,"Authentication Mechanisms: Basic Auth, Token-based Auth, JWT",CO3,Apply,"Authentication/Authorization concepts, Basic Auth, JWT implementation, Token management","API security, User identity verification, Secure backend services","Securing the Student Management API with JWT-based authentication","Coding project & Security implementation demonstration"
L21,Unit 2: Database Management,"Authorization Mechanisms: Role-based Access Control, Permissions",CO3,Apply,"Authorization models (RBAC/ABAC), Permission enforcement, Role management, Ownership checks","Backend security, Resource access control, User privilege management","Implementing RBAC for the Student Management API with Admin/Faculty/Student roles","Coding project & Authorization implementation demonstration"
L22,Unit 2: Database Management,"Handling API Requests and Responses: Validation, Serialization",CO3,Apply,"Input validation, Response serialization, Custom Pydantic validators, File upload validation","Data sanitization, Security compliance, API performance optimization","Implementing comprehensive request validation and response serialization for a Student API","Coding project & Validation/Serialization demonstration"
L23,Unit 2: Database Management,"API Versioning and Documentation: Swagger/OpenAPI, Postman",CO3,Create,"API versioning strategies, OpenAPI/Swagger specification, Postman collection management","API lifecycle management, Developer experience (DX), Team collaboration","Versioning the Student Management API and generating OpenAPI documentation","Coding project & API documentation demonstration"
L24,Unit 2: Database Management,"Assignment-I Discussion and Solution Review",CO2,Evaluate,"Code review, Architectural analysis, Problem troubleshooting, API design criticism","Software quality assurance, Peer review cycles, Production debugging","Reviewing peer backend implementations and refactoring with a Code Review Checklist","Peer review evaluation & Project refactoring demonstration"
